,Convicting Offense Classification,Convicting Offense Type,Convicting Offense Subtype,Race - Ethnicity,Sex,Level of Supervision,Recidivism - Prison Admission
57488,1.0,2.0,2.3,8,0,5.0,0
57489,10.0,3.0,3.2,8,1,5.0,0
57490,1.0,4.0,4.1,8,1,5.0,0
57491,1.0,2.0,2.3,8,1,5.0,0
57492,2.0,2.0,2.3,8,1,5.0,0
57493,1.0,2.0,2.3,8,1,5.0,0
57494,5.0,1.0,1.3,8,0,5.0,0
57495,5.0,4.0,4.5,8,1,5.0,0
57496,1.0,2.0,2.3,8,1,5.0,0
57497,5.0,3.0,3.2,8,1,5.0,0
57498,10.0,3.0,3.2,8,1,5.0,0
57499,1.0,3.0,3.1,8,1,5.0,0
57500,2.0,1.0,1.1,8,1,5.0,0
57501,1.0,2.0,2.3,8,1,5.0,0
57502,2.0,2.0,2.3,8,1,5.0,0
57503,5.0,1.0,1.1,8,1,5.0,0
57504,0.1,1.0,1.1,8,1,5.0,0
57505,2.0,2.0,2.3,8,1,5.0,0
57506,2.0,4.0,4.1,8,1,5.0,0
57507,2.0,2.0,2.3,8,0,5.0,0
57508,1.0,2.0,2.3,8,0,5.0,0
57509,2.0,1.0,1.1,8,1,5.0,0
57510,5.0,1.0,1.1,8,0,5.0,0
57511,2.0,4.0,4.3,8,0,5.0,0
57512,2.0,2.0,2.1,8,1,5.0,0
57513,2.0,2.0,2.3,8,1,5.0,0
57514,2.0,2.0,2.1,8,1,5.0,0
57515,5.0,3.0,3.2,8,0,5.0,0
57516,1.0,2.0,2.3,8,0,5.0,0
57517,1.0,2.0,2.3,8,0,5.0,0
57518,2.0,2.0,2.3,8,1,5.0,0
57519,1.0,4.0,4.1,8,1,5.0,0
57520,5.0,2.0,2.7,8,0,5.0,0
57521,1.0,4.0,4.1,8,0,5.0,0
57522,1.0,2.0,2.3,8,1,5.0,0
57523,1.0,2.0,2.3,8,1,5.0,0
57524,2.0,2.0,2.3,8,1,5.0,0
57525,5.0,3.0,3.2,8,1,5.0,0
57526,2.0,2.0,2.3,8,1,5.0,0
57527,1.0,2.0,2.3,8,1,5.0,0
57528,2.0,1.0,1.3,8,1,5.0,0
57529,2.0,2.0,2.3,8,1,5.0,0
57530,1.0,3.0,3.1,8,0,5.0,0
57531,5.0,3.0,3.2,8,1,5.0,0
57532,1.0,3.0,3.1,8,1,5.0,0
57533,2.0,2.0,2.6,8,1,5.0,0
57534,1.0,2.0,2.3,8,1,5.0,0
57535,0.1,1.0,1.4,8,1,5.0,0
57536,1.0,2.0,2.3,8,1,5.0,0
57537,2.0,3.0,3.3,8,1,5.0,0
57538,2.0,2.0,2.3,8,1,5.0,0
57539,1.0,3.0,3.1,8,1,5.0,0
57540,1.0,3.0,3.1,8,1,5.0,0
57541,2.0,2.0,2.1,8,1,5.0,0
57542,2.0,2.0,2.3,8,1,5.0,0
57543,1.0,3.0,3.1,8,1,5.0,0
57544,1.0,2.0,2.3,8,0,5.0,0
57545,1.0,2.0,2.3,8,1,5.0,0
57546,2.0,4.0,4.3,8,1,5.0,0
57547,5.0,1.0,1.2,8,1,5.0,0
57548,2.0,2.0,2.2,8,1,5.0,0
57549,2.0,4.0,4.1,8,1,5.0,0
57550,1.0,4.0,4.1,8,1,5.0,0
57551,2.0,2.0,2.3,8,1,5.0,0
57552,2.0,2.0,2.3,8,1,5.0,0
57553,10.0,1.0,1.2,8,0,5.0,0
57554,2.0,1.0,1.4,8,1,5.0,0
57555,1.0,3.0,3.1,8,0,5.0,0
57556,5.0,3.0,3.2,8,1,5.0,0
57557,1.0,4.0,4.1,8,0,5.0,0
57558,5.0,3.0,3.2,8,0,5.0,0
57559,2.0,2.0,2.3,8,1,5.0,0
57560,5.0,3.0,3.2,8,1,5.0,0
57561,1.0,3.0,3.1,8,0,5.0,0
57562,10.0,3.0,3.2,8,0,5.0,0
57563,2.0,2.0,2.3,8,0,5.0,0
57564,5.0,1.0,1.2,8,1,5.0,0
57565,0.1,1.0,1.1,8,0,5.0,0
57566,5.0,3.0,3.2,8,1,5.0,0
57567,2.0,2.0,2.3,8,0,5.0,0
57568,2.0,2.0,2.2,8,1,5.0,0
57569,5.0,4.0,4.5,8,1,5.0,0
57570,1.0,2.0,2.3,8,1,5.0,0
57571,1.0,4.0,4.1,8,0,5.0,0
57572,1.0,4.0,4.1,8,1,5.0,0
57573,2.0,2.0,2.3,8,0,5.0,0
57574,2.0,2.0,2.3,8,1,5.0,0
57575,1.0,3.0,3.1,8,0,5.0,0
57576,2.0,2.0,2.3,8,0,5.0,0
57577,10.0,3.0,3.2,8,1,5.0,0
